Map,Team ,Round,Side,Time to engagement,Time at Plant,Site,Plant XvY,Result,Pistol,Date,Tier
Lotus,ONSIDE GAMING,1,Attack,01:24,,,,Loss,Loss,03-06-2026,
Lotus,ONSIDE GAMING,2,Attack,01:21,,,,Loss,,03-06-2026,
Lotus,ONSIDE GAMING,3,Attack,01:20,01:12,C,4v3,Win,,03-06-2026,
Lotus,ONSIDE GAMING,4,Attack,01:27,,,,Loss,,03-06-2026,
Lotus,ONSIDE GAMING,5,Attack,01:22,,,,Loss,,03-06-2026,
Lotus,ONSIDE GAMING,6,Attack,01:30,,,,Loss,,03-06-2026,
Lotus,ONSIDE GAMING,7,Attack,01:03,,,,Loss,,03-06-2026,
Lotus,ONSIDE GAMING,8,Attack,01:35,,,,Win,,03-06-2026,
Lotus,ONSIDE GAMING,9,Attack,01:34,,,,Win,,03-06-2026,
Lotus,ONSIDE GAMING,10,Attack,01:32,,,,Loss,,03-06-2026,
Lotus,ONSIDE GAMING,11,Attack,01:20,00:52,C,2v1,Win,,03-06-2026,
Lotus,ONSIDE GAMING,12,Attack,01:20,,,,Win,,03-06-2026,
Lotus,ONSIDE GAMING,13,Defence,01:16,,,,Win,Win,03-06-2026,
Lotus,ONSIDE GAMING,14,Defence,01:06,,,,Win,,03-06-2026,
Lotus,ONSIDE GAMING,15,Defence,01:16,01:06,C,4v5,Loss,,03-06-2026,
Lotus,ONSIDE GAMING,16,Defence,01:10,01:06,C,4v6,Loss,,03-06-2026,
Lotus,ONSIDE GAMING,17,Defence,01:26,01:22,B,4v4,Loss,,03-06-2026,
Lotus,ONSIDE GAMING,18,Defence,01:27,,,,Win,,03-06-2026,
Lotus,ONSIDE GAMING,19,Defence,01:24,,,,Win,,03-06-2026,
Lotus,ONSIDE GAMING,20,Defence,01:35,,,,Win,,03-06-2026,
Lotus,ONSIDE GAMING,21,Defence,01:18,00:59,C,3v3,Win,,03-06-2026,
Lotus,ONSIDE GAMING,22,Defence,00:59,00:45,A,4v5,Loss,,03-06-2026,
Lotus,ONSIDE GAMING,23,Defence,01:17,00:51,C,3v4,Loss,,03-06-2026,
Lotus,ONSIDE GAMING,24,Defence,01:32,01:11,A,1v4,Loss,,03-06-2026,
Haven,QT Dig,1,Attack,01:34,01:19,C,5v4,Win,Win,03-06-2026,
Haven,QT Dig,2,Attack,00:54,00:24,C,3v1,Win,,03-06-2026,
Haven,QT Dig,3,Attack,01:21,,,,Loss,,03-06-2026,
Haven,QT Dig,4,Attack,01:04,00:31,A,3v2,Loss,,03-06-2026,
Haven,QT Dig,5,Attack,01:32,,,,Loss,,03-06-2026,
Haven,QT Dig,6,Attack,01:34,00:52,A,2v2,Loss,,03-06-2026,
Haven,QT Dig,7,Attack,00:59,,,,Loss,,03-06-2026,
Haven,QT Dig,8,Attack,01:17,,,,Loss,,03-06-2026,
Haven,QT Dig,9,Attack,01:34,,,,Loss,,03-06-2026,
Haven,QT Dig,10,Attack,00:53,,,,Loss,,03-06-2026,
Haven,QT Dig,11,Attack,01:18,,,,Loss,,03-06-2026,
Haven,QT Dig,12,Attack,01:34,01:10,C,4v4,Loss,,03-06-2026,
Haven,QT Dig,13,Defence,01:26,,,,Win,Win,03-06-2026,
Haven,QT Dig,14,Defence,01:31,00:59,C,4v4,Loss,,03-06-2026,
Haven,QT Dig,15,Defence,01:34,01:23,C,4v5,Loss,,03-06-2026,
Haven,QT Dig,16,Defence,01:28,01:20,C,4v4,Loss,,03-06-2026,
Haven,QT Dig,17,Defence,01:32,01:32,A,5v5,Loss,,03-06-2026,
Haven,QT Dig,18,Defence,01:34,,,,Loss,,03-06-2026,
Haven,QT Dig,19,Defence,01:34,00:45,A,3v2,Win,,03-06-2026,
Haven,QT Dig,20,Defence,01:31,,,,Win,,03-06-2026,
Haven,QT Dig,21,Defence,01:34,01:08,C,3v1,Win,,03-06-2026,
Haven,QT Dig,22,Defence,01:26,,,,Win,,03-06-2026,
Haven,QT Dig,23,Defence,01:02,,,,Win,,03-06-2026,
Haven,QT Dig,24,Defence,00:57,00:44,C,3v4,Win,,03-06-2026,
Pearl,FPX,1,Defence,01:09,01:09,B,5v5,Loss,Loss,03-06-2026,
Pearl,FPX,2,Defence,00:44,00:35,B,5v4,Win,,03-06-2026,
Pearl,FPX,3,Defence,01:27,,,,Win,,03-06-2026,
Pearl,FPX,4,Defence,01:23,01:15,B,3v4,Loss,,03-06-2026,
Pearl,FPX,5,Defence,00:39,00:30,A,1v4,Loss,,03-06-2026,
Pearl,FPX,6,Defence,01:22,01:09,B,5v4,Win,,03-06-2026,
Pearl,FPX,7,Defence,01:32,00:47,A,4v4,Loss,,03-06-2026,
Pearl,FPX,8,Defence,01:16,00:45,A,4v5,Loss,,03-06-2026,
Pearl,FPX,9,Defence,01:13,,,,Win,,03-06-2026,
Pearl,FPX,10,Defence,00:39,,,,Win,,03-06-2026,
Pearl,FPX,11,Defence,01:04,00:43,B,3v2,Loss,,03-06-2026,
Pearl,FPX,12,Defence,01:30,,,,Win,,03-06-2026,
Pearl,FPX,13,Attack,00:34,,,,Win,Win,03-06-2026,
Pearl,FPX,14,Attack,01:05,,,,Win,,03-06-2026,
Pearl,FPX,15,Attack,01:11,01:05,A,4v4,Win,,03-06-2026,
Pearl,FPX,16,Attack,01:33,01:18,A,4v1,Win,,03-06-2026,
Pearl,FPX,17,Attack,01:10,00:45,A,3v2,Win,,03-06-2026,
Pearl,FPX,18,Attack,00:59,00:31,B,3v3,Win,,03-06-2026,
Pearl,FPX,19,Attack,01:16,,,,Loss,,03-06-2026,
Pearl,FPX,20,Attack,01:27,01:15,A,2v1,Win,,03-06-2026,
Pearl,FPX,21,Attack,01:20,01:13,B,3v1,Win,,03-06-2026,
Pearl,FPX,22,Attack,00:51,,,,Loss,,03-06-2026,
Pearl,FPX,23,Attack,01:10,00:02,B,3v1,Win,,03-06-2026,
Pearl,FPX,24,Attack,01:04,00:30,A,3v2,Loss,,03-06-2026,
FANCY,Ascent,1,Attack,01:24,,,,Win,Win,03-06-2026,
FANCY,Ascent,2,Attack,01:24,00:46,A,2v1,Win,,03-06-2026,
FANCY,Ascent,3,Attack,01:28,,,,Loss,,03-06-2026,
FANCY,Ascent,4,Attack,00:57,00:41,A,3v3,Win,,03-06-2026,
FANCY,Ascent,5,Attack,01:17,,,,Loss,,03-06-2026,
FANCY,Ascent,6,Attack,01:34,,,,Loss,,03-06-2026,
FANCY,Ascent,7,Attack,01:33,01:09,A,2v1,Win,,03-06-2026,
FANCY,Ascent,8,Attack,01:27,,,,Loss,,03-06-2026,
FANCY,Ascent,9,Attack,01:28,01:13,A,4v5,Loss,,03-06-2026,
FANCY,Ascent,10,Attack,00:38,,,,Win,,03-06-2026,
FANCY,Ascent,11,Attack,01:18,01:14,A,5v2,Win,,03-06-2026,
FANCY,Ascent,12,Attack,00:59,00:49,A,5v4,Win,,03-06-2026,
FANCY,Ascent,13,Defence,01:21,,,,Win,Win,03-06-2026,
FANCY,Ascent,14,Defence,01:25,00:40,A,1v2,Loss,,03-06-2026,
FANCY,Ascent,15,Defence,01:05,,,,Win,,03-06-2026,
