Map,Team,Round,Side,Time to engagement,Time at Plant,Site,Plant XvY,Result,Pistol,Date,Tier
Lotus,ONSIDE GAMING,1,Attack,1:24,,,,Loss,Loss,2026-06-03,
Lotus,ONSIDE GAMING,2,Attack,1:21,,,,Loss,,2026-06-03,
Lotus,ONSIDE GAMING,3,Attack,1:20,1:12,C,4v3,Win,,2026-06-03,
Lotus,ONSIDE GAMING,4,Attack,1:27,,,,Loss,,2026-06-03,
Lotus,ONSIDE GAMING,5,Attack,1:22,,,,Loss,,2026-06-03,
Lotus,ONSIDE GAMING,6,Attack,1:30,,,,Loss,,2026-06-03,
Lotus,ONSIDE GAMING,7,Attack,1:03,,,,Loss,,2026-06-03,
Lotus,ONSIDE GAMING,8,Attack,1:35,,,,Win,,2026-06-03,
Lotus,ONSIDE GAMING,9,Attack,1:34,,,,Win,,2026-06-03,
Lotus,ONSIDE GAMING,10,Attack,1:32,,,,Loss,,2026-06-03,
Lotus,ONSIDE GAMING,11,Attack,1:20,0:52,C,2v1,Win,,2026-06-03,
Lotus,ONSIDE GAMING,12,Attack,1:20,,,,Win,,2026-06-03,
Lotus,ONSIDE GAMING,13,Defence,1:16,,,,Win,Win,2026-06-03,
Lotus,ONSIDE GAMING,14,Defence,1:06,,,,Win,,2026-06-03,
Lotus,ONSIDE GAMING,15,Defence,1:16,1:06,C,4v5,Loss,,2026-06-03,
Lotus,ONSIDE GAMING,16,Defence,1:10,1:06,C,4v6,Loss,,2026-06-03,
Lotus,ONSIDE GAMING,17,Defence,1:26,1:22,B,4v4,Loss,,2026-06-03,
Lotus,ONSIDE GAMING,18,Defence,1:27,,,,Win,,2026-06-03,
Lotus,ONSIDE GAMING,19,Defence,1:24,,,,Win,,2026-06-03,
Lotus,ONSIDE GAMING,20,Defence,1:35,,,,Win,,2026-06-03,
Lotus,ONSIDE GAMING,21,Defence,1:18,0:59,C,3v3,Win,,2026-06-03,
Lotus,ONSIDE GAMING,22,Defence,0:59,0:45,A,4v5,Loss,,2026-06-03,
Lotus,ONSIDE GAMING,23,Defence,1:17,0:51,C,3v4,Loss,,2026-06-03,
Lotus,ONSIDE GAMING,24,Defence,1:32,1:11,A,1v4,Loss,,2026-06-03,
Haven,QT Dig,1,Attack,1:34,1:19,C,5v4,Win,Win,2026-06-03,
Haven,QT Dig,2,Attack,0:54,0:24,C,3v1,Win,,2026-06-03,
Haven,QT Dig,3,Attack,1:21,,,,Loss,,2026-06-03,
